살림,음식,가족&결혼,패션&뷰티,건강/취미/스포츠,경제경영,고전,과학,공학,농업,동식물,수학,의학,만화,사회과학,외국문학작품,한국문학작품,문학잡지,문학이론,수험서/자격증,어린이 이과,어린이 문과,어린이 동화/명작/고전,어린이 문화&예술&인물,어린이 일반,어린이 언어,에세이,여행,역사,예술/대중문화,영어,일본어,중국어,한자,국어,기타외국어,번역/통역,유아,"인문학 일반
(인문학 기타)",철학,신화,종교,심리학,자기계발,잡지/전집,"좋은부모
(자녀교육)",청소년,컴퓨터/모바일
,,,,114987,,,,,,,,,,51304,,,,,,,,,,,,,,90,114988,,,,,,,,,,51491,,,,,,,,2757
,,,,53531,,,,,,,,,,51306,,,,,,,,,,,,,,2211,51176,,,,,,,,,,51492,,,,,,,,2350
,,,,53519,,,,,,,,,,51346,,,,,,,,,,,,,,5566,,,,,,,,,,,51452,,,,,,,,6369
,,,,53515,,,,,,,,,,51344,,,,,,,,,,,,,,84,,,,,,,,,,,51448,,,,,,,,387
,,,,,,,,,,,,,,51345,,,,,,,,,,,,,,52620,,,,,,,,,,,51440,,,,,,,,6381
,,,,,,,,,,,,,,51347,,,,,,,,,,,,,,3266,,,,,,,,,,,51441,,,,,,,,2767
,,,,,,,,,,,,,,51341,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,2770
,,,,,,,,,,,,,,51343,,,,,,,,,,,,,,2215,,,,,,,,,,,,,,,,,,,6346
,,,,,,,,,,,,,,51326,,,,,,,,,,,,,,2216,,,,,,,,,,,,,,,,,,,6889
,,,,,,,,,,,,,,51330,,,,,,,,,,,,,,2217,,,,,,,,,,,,,,,,,,,2615
,,,,,,,,,,,,,,51333,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,3023
,,,,,,,,,,,,,,51336,,,,,,,,,,,,,,1442,,,,,,,,,,,,,,,,,,,2621
,,,,,,,,,,,,,,51338,,,,,,,,,,,,,,3431,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51240,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51241,,,,,,,,,,,,,,52591,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51238,,,,,,,,,,,,,,1753,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51251,,,,,,,,,,,,,,52593,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
